arm,video,n_questions,gold_at_4_rate,mIoP,mIoU,delta_gold_at_4_vs_A,delta_mIoP_vs_A,delta_mIoU_vs_A
A,3526597179,6,1.0,0.4414861111111113,0.34222607205236555,0.0,0.0,0.0
A,3530231811,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
A,3550839192,2,1.0,0.7173863636363635,0.170562041295351,0.0,0.0,0.0
A,3555755537,1,1.0,1.0,0.18032786885245908,0.0,0.0,0.0
A,3557498300,7,0.5714285714285714,0.3232770562770562,0.20731351975049472,0.0,0.0,0.0
A,3581585756,7,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
A,3626788516,6,0.5,0.3979924242424242,0.22123963728311147,0.0,0.0,0.0
A,3655906094,7,0.42857142857142855,0.12612337662337664,0.10743118912009517,0.0,0.0,0.0
A,3708066257,2,0.5,0.0,0.0,0.0,0.0,0.0
A,3711681535,8,0.5,0.29262405303030287,0.10831907151652541,0.0,0.0,0.0
A,3719793245,2,0.0,0.032806818181818236,0.027177903714721483,0.0,0.0,0.0
A,3741143820,5,0.6,0.46854545454545454,0.42630301259231695,0.0,0.0,0.0
A,3763643225,5,0.6,0.5363318181818182,0.3648384764500663,0.0,0.0,0.0
A,3804148568,3,0.3333333333333333,0.3333333333333333,0.02295252999478353,0.0,0.0,0.0
A,3814690167,4,0.75,0.6566507619731268,0.324681338028169,0.0,0.0,0.0
A,3821781616,7,1.0,0.5622099282902173,0.4481694978174658,0.0,0.0,0.0
A,3830567237,10,0.7,0.45261590909090915,0.14333010404890656,0.0,0.0,0.0
A,3846475848,10,0.7,0.6,0.06724799937727101,0.0,0.0,0.0
A,3851913128,6,0.5,0.17391997449386257,0.06245833333333334,0.0,0.0,0.0
A,3861485381,6,0.6666666666666666,0.15967676767676778,0.13224031806159367,0.0,0.0,0.0
A,3869005094,4,0.75,0.3844269368947204,0.2797640283042884,0.0,0.0,0.0
A,3897746373,6,0.5,0.20024353482468663,0.11097967260298613,0.0,0.0,0.0
A,3902997424,5,0.8,0.3501864112327463,0.30013860137289833,0.0,0.0,0.0
A,3942617402,4,0.25,0.25,0.10679611650485435,0.0,0.0,0.0
A,3943634344,9,0.4444444444444444,0.23127777777777775,0.21565337296715253,0.0,0.0,0.0
A,3960291106,8,0.625,0.2989349714932832,0.16590707545770145,0.0,0.0,0.0
A,3963997053,5,0.2,0.2909090909090909,0.16625194805194807,0.0,0.0,0.0
A,3972259774,8,0.5,0.04944957386363632,0.03421375921375917,0.0,0.0,0.0
A,3974684583,4,0.75,0.6923636363636363,0.43790459070478316,0.0,0.0,0.0
A,3981865268,2,0.0,0.0,0.0,0.0,0.0,0.0
A,4006608424,10,0.4,0.24792575757575727,0.07498440750689883,0.0,0.0,0.0
A,4010069381,4,0.75,0.6582954545454545,0.4004313438083699,0.0,0.0,0.0
A,4024008346,6,0.6666666666666666,0.2975909924063891,0.21579099240638913,0.0,0.0,0.0
A,4036955771,4,0.5,0.25,0.14666666666666686,0.0,0.0,0.0
A,4075791856,3,0.0,0.0,0.0,0.0,0.0,0.0
A,4092992100,6,0.8333333333333334,0.23827651515151516,0.16105155235063862,0.0,0.0,0.0
A,4094488636,4,0.75,0.5748674242424242,0.41308086653037,0.0,0.0,0.0
A,4103088549,7,0.42857142857142855,0.41890909090909095,0.257202196704537,0.0,0.0,0.0
A,4123915842,7,0.7142857142857143,0.5225389610389611,0.3507001004688081,0.0,0.0,0.0
A,4127497265,5,0.6,0.17670454545454548,0.15636304063343304,0.0,0.0,0.0
A,4130504920,4,1.0,0.4883522727272727,0.27784706772436835,0.0,0.0,0.0
A,4132599924,2,0.5,0.6100795454545457,0.3865985648242532,0.0,0.0,0.0
A,4138579400,6,0.5,0.4216019338189658,0.15631337277878543,0.0,0.0,0.0
A,4146348376,2,0.5,0.5,0.3013698630136986,0.0,0.0,0.0
A,4147398280,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
A,4151403382,6,0.5,0.4776098484848483,0.387261223094773,0.0,0.0,0.0
A,4164771889,9,0.7777777777777778,0.5985126262626262,0.40125511433530586,0.0,0.0,0.0
A,4166942239,6,0.8333333333333334,0.3333333333333333,0.16958111916264093,0.0,0.0,0.0
A,4189100053,7,0.2857142857142857,0.2793668831168831,0.1361676483335837,0.0,0.0,0.0
A,4190655097,6,0.5,0.29485164141414133,0.13873257006270454,0.0,0.0,0.0
A,4199369046,5,0.4,0.4,0.052932450522811994,0.0,0.0,0.0
A,4217422838,7,0.42857142857142855,0.2857142857142857,0.04473874656245475,0.0,0.0,0.0
A,4219909195,10,0.2,0.1960378787878788,0.12221689704937813,0.0,0.0,0.0
A,4244817395,9,0.3333333333333333,0.2999999999999999,0.1064772112369365,0.0,0.0,0.0
A,4249756405,7,0.5714285714285714,0.42857142857142855,0.05929919137466306,0.0,0.0,0.0
A,4251505427,7,0.5714285714285714,0.468383116883117,0.07689986567675454,0.0,0.0,0.0
