video_id,corpus,cache_dir,config_hash,is_canonical,n_survivors,n_scenes,shortlist_width,fraction_kept
2589540862,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,93,14,4,0.285714
2716277960,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,56,14,4,0.285714
2810112808,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,356,26,6,0.230769
2821968703,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,120,21,5,0.238095
2835125654,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,189,47,7,0.148936
2857132732,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,98,10,4,0.4
2885091387,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,143,29,6,0.206897
2920952624,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,111,18,5,0.277778
3066064005,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,110,19,5,0.263158
3124551255,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,263,41,7,0.170732
3175315183,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,336,49,7,0.142857
3249402410,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,94,18,5,0.277778
3355698421,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,160,25,5,0.2
3402648543,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,70,9,4,0.444444
3452354871,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,69,11,4,0.363636
3469864014,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,116,23,5,0.217391
3471421544,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,239,41,7,0.170732
3489439407,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,223,35,6,0.171429
3502722122,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,58,16,4,0.25
3562017845,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,160,26,6,0.230769
3595273118,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,51,11,4,0.363636
3784543730,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,115,25,5,0.2
3843551232,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,94,19,5,0.263158
3851961428,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,276,51,8,0.156863
3935853204,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,127,19,5,0.263158
3939145327,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,160,40,7,0.175
4013751996,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,103,12,4,0.333333
4083875373,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,217,52,8,0.153846
4087013668,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,194,34,6,0.176471
4087654898,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,44,8,4,0.5
4123211145,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,361,72,9,0.125
4126010904,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,227,57,8,0.140351
4136617240,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,360,89,10,0.11236
